"PII","DOI","EID","Publication Date","Open Access","Content Depth","Source","Abstract","Methods","Results","Conclusions"
"","https://doi.org/10.1201/9781003226642","2-s2.0-85161140131","2023-01","No","Abstract","AI FOR SCIENTIFIC DISCOVERY","AI for Scientific Discovery provides an accessible introduction to the wide-ranging applications of artificial intelligence (AI) technologies in scientific research and discovery across the full breadth of scientific disciplines. AI technologies support discovery science in multiple ways. They support literature management and synthesis, allowing the wealth of what has already been discovered and reported on to be integrated and easily accessed. They play a central role in data analysis and interpretation in the context of what is called ‘data science’. AI is also helping to combat the reproducibility crisis in scientific research by underpinning the discovery process with AI-enabled standards and pipelines and supporting the management of large-scale data and knowledge resources so that they can be shared and integrated and serve as a background ‘knowledge ecosystem’ into which new discoveries can be embedded. However, there are limitations to what AI can achieve and its outputs can be biased and confounded and thus should not be blindly trusted. The latest generation of hybrid and ‘human-in-the-loop’ AI technologies have as their objective a balance between human inputs and insights and the power of number-crunching and statistical inference at a massive scale that AI technologies are best at.","Accessible introduction to AI applications in scientific research across the full breadth of scientific disciplines; no formal methods or search approach is described.","AI supports literature management and synthesis, data analysis and interpretation, reproducibility standards and pipelines, and large-scale data and knowledge sharing. Hybrid and human-in-the-loop AI aims to balance human insight with large-scale statistical inference.","AI can substantially aid scientific discovery, but outputs may be biased and confounded and should not be blindly trusted. Human-in-the-loop approaches are presented as the best balance between human judgment and AI scale."
"","https://doi.org/10.1609/aaai.v39i27.35084","2-s2.0-105003908684","2025-04","Yes","Abstract","Towards Scientific Discovery with Generative AI: Progress, Opportunities, and Challenges","Scientific discovery is a complex cognitive process that has driven human knowledge and technological progress for centuries. While artificial intelligence (AI) has made significant advances in automating aspects of scientific reasoning, simulation, and experimentation, we still lack integrated AI systems capable of performing autonomous long-term scientific research and discovery. This paper examines the current state of AI for scientific discovery, highlighting recent progress in large language models and other AI techniques applied to scientific tasks. We then outline key challenges and promising research directions toward developing more comprehensive AI systems for scientific discovery, including the need for science-focused AI agents, improved benchmarks and evaluation metrics, multimodal scientific representations, and unified frameworks combining reasoning, theorem proving, and data-driven modeling. Addressing these challenges could lead to transformative AI tools to accelerate progress across disciplines towards scientific discovery.","Perspective/review of recent AI progress for scientific discovery; no formal method or search approach is described.","Highlights recent progress in large language models and other AI techniques for scientific tasks, and identifies key challenges and research directions.","Science-focused AI agents, better benchmarks, multimodal representations, and unified reasoning/theorem-proving/data-driven frameworks are needed to enable autonomous scientific discovery; the paper notes current systems still lack this capability."
"","https://doi.org/10.1109/ICACITE60783.2024.10616647","2-s2.0-85201796801","2024-01","No","Abstract","AI-Infused Research and Development in Universities: Accelerating Scientific Discovery","The past decade has witnessed the role that artificial intelligence (AI) has in university research and development (R&D) processes emerge as a very potent catalyst for accelerating scientific discovery. It thus seeks to explore the transformative impacts that AI-infused R&D is likely to bring in universities, focusing mostly on key mechanisms, challenges, promising avenues for future exploration, and technological breakthroughs in the field. The traditional methodologies of R&D have seen a massive revolution through the entry of AI, which now poses uncharted capabilities in data analysis, pattern recognition, and predictive modeling. The application is able to thoroughly search vast sets of data in an unrealistically short period, so as to reveal latent structures, patterns, and other actionable insights, with the help of machine learning algorithms, neural networks, and natural language processing techniques. This paradigm shift in R&D supports a more agile, data-driven approach to scientific inquiry that allows researchers to better focus their efforts with precision and alacrity on the most vexing, complex problems. The biggest gain to be reaped from infusing AI in R&D is the hastening of the pace of experimentation and hypothesis testing. AI systems thus enable researchers to iterate very quickly by automating repetitive tasks and offering the best designs for experimentation. This will, in effect, bring down the time-todiscovery cycle. Equally, AI simulations allow for the possibility of in silico virtual experiments, thus reducing overreliance on capital-intensive and unwieldy laboratory experiments.","Narrative overview of AI-infused research and development in universities; no formal methods or search approach is described.","AI is described as improving data analysis, pattern recognition, predictive modeling, and automation of repetitive tasks, with machine learning, neural networks, and NLP enabling faster experimentation and virtual in silico tests.","AI-infused R&D is presented as accelerating scientific discovery and reducing time-to-discovery; no explicit limitations are stated."
"","https://doi.org/10.3390/jimaging11020059","2-s2.0-85218672576","2025-02","Yes","Abstract","Applications of Artificial Intelligence, Deep Learning, and Machine Learning to Support the Analysis of Microscopic Images of Cells and Tissues","Artificial intelligence (AI) transforms image data analysis across many biomedical fields, such as cell biology, radiology, pathology, cancer biology, and immunology, with object detection, image feature extraction, classification, and segmentation applications. Advancements in deep learning (DL) research have been a critical factor in advancing computer techniques for biomedical image analysis and data mining. A significant improvement in the accuracy of cell detection and segmentation algorithms has been achieved as a result of the emergence of open-source software and innovative deep neural network architectures. Automated cell segmentation now enables the extraction of quantifiable cellular and spatial features from microscope images of cells and tissues, providing critical insights into cellular organization in various diseases. This review aims to examine the latest AI and DL techniques for cell analysis and data mining in microscopy images, aid the biologists who have less background knowledge in AI and machine learning (ML), and incorporate the ML models into microscopy focus images.","Review of recent AI and deep learning techniques for cell analysis and data mining in microscopy images; no formal search strategy or review method is described.","AI applications in microscopy include object detection, feature extraction, classification, and segmentation. Open-source software and new deep neural network architectures have improved cell detection and segmentation accuracy.","The review aims to help biologists with limited AI background and support integration of machine learning models into microscopy focus images; automated segmentation can extract quantifiable cellular and spatial features. No limitations are stated in the abstract."
"","https://doi.org/10.1007/s10462-025-11365-w","2-s2.0-105018582213","2025-12","Yes","Abstract","Empowering scientific discovery with explainable small domain-specific and large language models","As artificial intelligence (AI) increasingly integrates into scientific research, explainability has become a cornerstone for ensuring reliability and innovation in discovery processes. This review offers a forward-looking integration of explainable AI (XAI)-based research paradigms, encompassing small domain-specific models, large language models (LLMs), and agent-based large-small model collaboration. For domain-specific models, we introduce a knowledge-oriented taxonomy categorizing methods into knowledge-agnostic, knowledge-based, knowledge-infused, and knowledge-verified approaches, emphasizing the balance between domain knowledge and innovative insights. For LLMs, we examine three strategies for integrating domain knowledge—prompt engineering, retrieval-augmented generation, and supervised fine-tuning—along with advances in explainability, including local, global, and conversation-based explanations. We also envision future agent-based model collaborations within automated laboratories, stressing the need for context-aware explanations tailored to research goals. Additionally, we discuss the unique characteristics and limitations of both explainable small domain-specific models and LLMs in the realm of scientific discovery. Finally, we highlight methodological challenges, potential pitfalls, and the necessity of rigorous validation to ensure XAI’s transformative role in accelerating scientific discovery and reshaping research paradigms.","Review article proposing a knowledge-oriented taxonomy for explainable small domain-specific models and examining XAI strategies for LLMs, including prompt engineering, retrieval-augmented generation, and supervised fine-tuning.","Identifies four model categories for domain-specific methods: knowledge-agnostic, knowledge-based, knowledge-infused, and knowledge-verified. For LLMs, highlights local, global, and conversation-based explanations plus future agent-based collaborations in automated laboratories.","Explainable AI may accelerate scientific discovery, but methodological challenges, potential pitfalls, and rigorous validation are needed to ensure reliability. The authors also note unique characteristics and limitations of both small domain-specific models and LLMs."
"S2352552526000861","https://doi.org/10.1016/j.jemep.2026.101323","2-s2.0-105049559087","2026-01","No","Full Text","Artificial intelligence and scientific methodology: continuity, disruption, and the next revolution","Background Artificial intelligence is increasingly embedded in scientific research as a methodological agent rather than a mere tool. In fields like medicine and public health, AI systems now participate directly in hypothesis generation, data exploration, and the stabilization of knowledge claims. Within the longue durée of scientific method - from empiricism and statistical inference to computational and data-intensive science - these developments raise the question of whether contemporary AI represents a genuine epistemic discontinuity through its capacity to identify patterns and guide inquiry prior to explicit human theorization. Methodology We adopt a conceptual and analytical approach grounded in philosophy of science and AI ethics. Historical episodes of scientific discovery and methodological change, alongside current applications of AI in biomedical and public health research, are examined to assess continuities and ruptures in scientific practice. This provides a basis to critically analyze how AI reshapes the relationship between prediction and explanation, as well as the ethical and epistemic implications of this transformation. Results/Discussion AI-driven methods enhance predictive performance and exploratory capacity, often identifying empirical regularities before causal or mechanistic explanations are established. While this accelerates discovery, it also heightens concerns about epistemic opacity, automation bias, and an illusion of understanding when prediction substitutes for explanation. We highlight risks related to insufficient external validation across populations, dual-use and privacy issues, and inequities in access to AI resources. In response, we propose a framework for responsible AI integration in science: transparent reporting standards, interpretable modeling in high-stakes contexts, rigorous external validation, and clear institutional accountability. Conclusion/Perspectives AI has the potential to substantially accelerate and broaden scientific discovery. Realizing these benefits, however, requires governance that preserves methodological pluralism, sustains human judgment, and reinforces the norms of reproducible, trustworthy science. Future research and policy should align AI innovation with epistemic responsibility and social equity, ensuring that advances in predictive capacity translate into durable scientific and public health gains.","Conceptual and analytical review grounded in philosophy of science and AI ethics. The paper examines historical episodes of scientific change and current AI applications in biomedical and public health research.","AI-driven methods are described as improving predictive performance and exploratory capacity, often finding empirical regularities before causal explanations. The paper also identifies risks including epistemic opacity, automation bias, insufficient external validation, privacy and dual-use concerns, and inequitable access to AI resources.","AI can accelerate and broaden scientific discovery, but only with governance that preserves human judgment, methodological pluralism, reproducibility, and accountability. Key caveats are unresolved opacity, bias, validation limits, and equity concerns."
"","https://doi.org/10.1038/s41586-023-06221-2","2-s2.0-85166404512","2023-08","No","Abstract","Scientific discovery in the age of artificial intelligence","Artificial intelligence (AI) is being increasingly integrated into scientific discovery to augment and accelerate research, helping scientists to generate hypotheses, design experiments, collect and interpret large datasets, and gain insights that might not have been possible using traditional scientific methods alone. Here we examine breakthroughs over the past decade that include self-supervised learning, which allows models to be trained on vast amounts of unlabelled data, and geometric deep learning, which leverages knowledge about the structure of scientific data to enhance model accuracy and efficiency. Generative AI methods can create designs, such as small-molecule drugs and proteins, by analysing diverse data modalities, including images and sequences. We discuss how these methods can help scientists throughout the scientific process and the central issues that remain despite such advances. Both developers and users of AI toolsneed a better understanding of when such approaches need improvement, and challenges posed by poor data quality and stewardship remain. These issues cut across scientific disciplines and require developing foundational algorithmic approaches that can contribute to scientific understanding or acquire it autonomously, making them critical areas of focus for AI innovation.","Review-style article examining AI breakthroughs over the past decade, including self-supervised learning, geometric deep learning, and generative AI methods. No formal experimental methods or search approach is described in the abstract.","AI is increasingly used to generate hypotheses, design experiments, collect and interpret large datasets, and create molecules and proteins from images and sequences. Key advances highlighted are self-supervised learning and geometric deep learning.","AI can augment and accelerate scientific discovery, but poor data quality and stewardship remain major challenges. Developers and users need a better understanding of when AI approaches need improvement and of foundational algorithms that can advance scientific understanding."
"","https://doi.org/10.1109/AICT67988.2025.11268778","2-s2.0-105030498404","2025-01","No","Abstract","The Role of AI in Advancing Scientific Research from Hypothesis to Publication","Artificial Intelligence (AI) has rapidly evolved from a supportive computational tool to a transformative driver of scientific research, permeating nearly every stage of the research lifecycle. No longer confined to isolated applications, AI is now integrated into the broader ecosystem of inquiry, reshaping the way hypotheses are formulated, data are collected and analyzed, experiments are designed, and findings are disseminated. Breakthroughs in large language models (LLMs), retrieval-augmented generation (RAG), multimodal AI, and agentic workflows have expanded the scope of research capabilities, enabling systems that not only process information but also reason across disciplines, generate novel insights, and automate complex workflows. This paper presents a comprehensive narrative review of 36 recent studies that examine AI’s contributions to scientific research, with particular attention to its integration across key phases: literature discovery, hypothesis generation, experimental design, data analysis, visualization, manuscript drafting, and peer review. In addition, the review highlights AI’s applications in STEM, biomedical sciences, social sciences, and interdisciplinary domains, demonstrating its potential to accelerate innovation and bridge methodological gaps. The role of AI in systematic reviews and meta-analyses is emphasized, underscoring its ability to improve reproducibility and efficiency while reducing research timelines. Beyond opportunities, the review critically examines risks including bias, hallucination, overfitting, data privacy, authorship, and academic integrity. Ethical frameworks such as model cards, AI usage cards, and international governance standards are explored as essential mechanisms for ensuring transparency, fairness, and accountability. The findings suggest that AI should be regarded not as a substitute for human inquiry but as a collaborative partner that amplifies creativity, enhances rigor, and accelerates the production of scientific knowledge. By embedding ethical safeguards and reproducibility standards, AI can serve as both a catalyst for discovery and a guardian of research integrity in the evolving landscape of twenty-first century science.","Comprehensive narrative review of 36 recent studies on AI in scientific research, covering literature discovery through peer review. Focuses on applications across STEM, biomedical, social, and interdisciplinary domains.","AI is reported to accelerate literature discovery, hypothesis generation, experimental design, data analysis, visualization, manuscript drafting, and peer review. It improves reproducibility and efficiency, but risks include bias, hallucination, overfitting, privacy, authorship, and academic integrity.","AI should be a collaborative partner rather than a substitute for human inquiry, with ethical safeguards and reproducibility standards essential. The review notes concerns about bias, privacy, and academic integrity."
"","https://doi.org/10.1007/978-3-032-04365-8_34","2-s2.0-105019516787","2025-01","No","Abstract","Artificial Intelligence Systems for Automated Scientific Research","In today’s rapidly evolving landscape, where economic progress hinges on scientific and technological advancements, the integration of Artificial Intelligence (AI) into scientific research is gaining momentum. This paper explores the potential of AI systems to automate and enhance various stages of the scientific research process, addressing the increasing demands placed on young scientists and graduate students. It examines how AI tools can be leveraged to improve efficiency, objectivity, and innovation across key research activities, from literature review and hypothesis generation to experimental design and data analysis. The study analyzes the benefits of AI in facilitating tasks such as automated data collection, pattern identification, and the interpretation of complex datasets, highlighting the advantages of using platforms like Semantic Scholar for targeted literature searches. However, the paper also critically assesses the challenges and limitations associated with AI-driven research, including concerns about data quality, algorithmic bias, security vulnerabilities, and ethical considerations related to data privacy and transparency. The analysis emphasizes the need for robust data validation, expert human oversight, and the development of appropriate training and skill sets to ensure the responsible and effective implementation of AI in scientific research. Ultimately, the paper advocates for a balanced approach that combines the power of AI with the critical thinking and domain expertise of human researchers, paving the way for more impactful and groundbreaking discoveries. Further, it puts forth a series of core principles to help guide effective implementation of AI tools for research.","Conceptual paper exploring AI systems for automating scientific research across literature review, hypothesis generation, experimental design, and data analysis; no formal study design or search method is described.","AI tools are presented as improving efficiency, objectivity, and innovation, with uses in automated data collection, pattern identification, complex data interpretation, and targeted literature search via Semantic Scholar.","AI should be combined with human expertise and oversight for responsible research use; key limitations include data quality, algorithmic bias, security vulnerabilities, and privacy/transparency concerns."
"","https://doi.org/10.1007/978-3-032-02272-1_32","2-s2.0-105026441130","2025-01","No","Abstract","On the Use of Artificial Intelligence Systems for Scientific Search","The possibility of involving artificial intelligence systems in working with researchers in the framework of scientific research is discussed. For this purpose, three stages of artificial intelligence participation in solving these problems are identified. The first is the collection of materials and developments on the identified problem. The second stage of scientific research is the formation of a cycle of auxiliary tasks to clarify the connections between concepts and ideas, identifying qualitative and quantitative dependence. This will require an interactive mode of coordinating the formulations of these problems and clarifying the results. At the third stage, a synthesis of the obtained data and knowledge should be carried out to form a complete scientific theory. In addition to using language models, in particular, at the first stage of data collection, it becomes possible to involve Kolmogorov-Arnold networks to identify the dependence between variables in an analytical-symbolic form at the last stages of scientific research. The procedures for synthesizing an array of data and knowledge require clarification to orient artificial intelligence networks when comparing all knowledge obtained at the second stage of scientific research with known formed theories.","Conceptual discussion of AI use in scientific research, organized into three stages: data collection, auxiliary task formation to clarify concept relations, and synthesis of data and knowledge. It also mentions language models and Kolmogorov-Arnold networks as tools.","Three stages of AI participation are identified: collecting materials, clarifying qualitative and quantitative dependencies through interactive coordination, and synthesizing data and knowledge into a complete scientific theory.","AI can support scientific search across staged research tasks, but procedures for synthesizing data and orienting networks in comparison with known theories still need clarification."
